Name,Address Line 1,Address Line 2,City,State,Postcode,Country,Phone,Email,URL,Visible,Filters,Hours ID,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Timezone,Marker ID,Type,Slug,Image,Facebook,X / Twitter,Instagram,Yelp,Full Address,Lat,Lng,StoreRocket ID,Field: Details,Field: Google maps link,Field: Item ID,Button: View restaurant
Bread Street Kitchen & Bar - Southwark,Bread Street Kitchen & Bar - Southwark,47-51 Great Suffolk Street,London,England,SE1 0BS,GB,0 20 7592 7977,,https://www.gordonramsayrestaurants.com/bread-street-kitchen/southwark,1,"High chair, Baby change in women's room, Wheelchair access, Small sharing plates, Vegetarian, Vegan, Cosy, Relaxed, Good for groups, Free kids meal, Friendly staff, Healthy, Quick service",,11:30-22:00,11:30-22:00,11:30-22:00,11:30-23:00,11:30-23:00,11:30-23:00,11:30-21:00,Europe/London,,FALSE,bread-street-kitchen-bar-southwark-london-england,https://cdn.prod.website-files.com/65c4e3041d72984c18dbb740/66e40bd579566cf668095e2b_bread%2520street%2520southwark.jpeg,,,,,"47-51 Great Suffolk St, London SE1 0BS, UK",51.5035279,-0.1012037,ZJWZoZDW40,"A Modern European restaurant with something for everyone, including a delicious Beef Wellington for two. Kids (8 and under) eat free all day every day: one kids meal free with the purchase of an adult's meal. They have 6 locations around London.  📸 Bread Street Kitchen",https://maps.app.goo.gl/hVGu8ocx3vLehHdq5,66e40bd579566cf668095ef3,https://thenugget.app/template/location/bread-street-kitchen-bar-southwark-london-england
Coppa Club Tower Bridge,Coppa Club Tower Bridge,3 Lower Thames Street,London,England,EC3R 6AH,GB,020 8016 9227,,http://coppaclub.co.uk/towerbridge,1,"High chair, Baby change in unisex room, Kids' menu, Wheelchair access, Outdoor seating, Tourist attraction nearby, Small sharing plates, Vegetarian, Vegan, Cosy, Relaxed, Buzzy, Good for groups, Takeaway, Teen favourite, Friendly staff, Healthy, Kids' colouring, Quick service, A/C",,09:00-23:00,09:00-23:00,09:00-23:00,09:00-23:00,09:00-23:00,09:00-23:00,09:00-22:00,Europe/London,,FALSE,coppa-club-tower-bridge-london-england,https://cdn.prod.website-files.com/65c4e3041d72984c18dbb740/66e40bd6bedceb1ccc042cd6_Coppa%2520Club%2520Tower%2520Bridge.png,,,,,"3 Three Quays Walk, Lower Thames St, London EC3R 6AH, UK",51.5080475,-0.0794822,38275RGqpB,"Friendly staff with plenty of options on the kids' menu, incredible views, offering indoor and terrace dining. The igloos are a family favourite. Book ahead.  📸 Coppa Club ",https://maps.app.goo.gl/dLWgnYRykqoLn74y9,66e40bd6bedceb1ccc042d44,https://thenugget.app/template/location/coppa-club-tower-bridge-london-england
Granary Square Brasserie,Granary Square Brasserie,1 Granary Square,London,England,N1C 4AA,GB,,,https://granarysquarebrasserie.com/?utm_source=LocalGoogle&utm_medium=Organic,1,"High chair, Baby change in women's room, Kids' menu, Wheelchair access, Outdoor seating, Playground nearby, Vegetarian, Vegan, Cosy, Relaxed, Buzzy, Posh, Good for groups, Takeaway, Teen favourite, Friendly staff, Healthy, Quick service, A/C",,08:30-00:00,08:30-00:00,08:30-00:00,08:30-00:00,08:30-00:00,08:30-00:00,08:30-00:00,Europe/London,,FALSE,granary-square-brasserie-london-england,https://cdn.prod.website-files.com/65c4e3041d72984c18dbb740/66e40bd7991e1a63765d4f42_WhatsApp%2520Image%25202024-05-10%2520at%252016.58.24.jpeg,,,,,"1 Granary Square, London N1C 4AA, UK",51.5358333,-0.1255556,zpBgVbGN4v,"Posh brasserie perfect for multi generational celebrations. An extensive menu of bistro fare with a buzzy vibe, cozy booths, and high ceilings. The water fountains in front of the restaurant are fun for kids. Handyside Gardens Play Area just a short walk away.",https://maps.app.goo.gl/eyDpZhBHcYy86BcV8,66e40bd7991e1a63765d4f46,https://thenugget.app/template/location/granary-square-brasserie-london-england
Mare Street Market,Mare Street Market,117 Mare Street,London,England,E8 4RU,GB,0 20 3745 2470,,http://marestreetmarket.com/,1,"High chair, Baby change in unisex room, Baby change in women's room, Wheelchair access, Outdoor seating, Playground nearby, Vegetarian, Vegan, Relaxed, Buzzy, Good for groups, Dog friendly, Friendly staff, Quick service, A/C",,09:00-00:00,09:00-00:00,09:00-00:00,09:00-00:00,09:00-01:00,09:00-01:00,09:00-00:00,Europe/London,,FALSE,mare-street-market-london-england,https://cdn.prod.website-files.com/65c4e3041d72984c18dbb740/66e40bd85b1e61411ba5ec6d_326346646_188636983814007_8552416435337232144_n.jpeg,,,,,"117 Mare St, London E8 4RU, UK",51.5378374,-0.0572332,287yj56A4A,"Buzzy market with something for everyone- pizzas, sandwiches and more. Combine with London Fields playgrounds or The Young V&A Museum nearby.  📸 Mare Street Market",https://maps.app.goo.gl/Qh3JWzAobLx5bin78,66e40bd85b1e61411ba5ec9d,https://thenugget.app/template/location/mare-street-market-london-england
Big Penny Social,Big Penny Social,1 Priestley Way,London,England,E17 6AL,GB,020 3700 1040,,https://bigpennysocial.co.uk/,1,"High chair, Baby change in unisex room, Kids' menu, Wheelchair access, Outdoor seating, Vegetarian, Vegan, Gluten free, Fun / Quirky, Relaxed, Buzzy, Good for groups, Teen favourite, Dog friendly, Friendly staff, Healthy, Kids' colouring, Games available, Quick service, A/C",,12:00-21:30,12:00-21:30,12:00-21:30,12:00-00:00,12:00-01:00,12:00-01:00,12:00-22:00,Europe/London,,FALSE,big-penny-social-london-england,https://cdn.prod.website-files.com/65c4e3041d72984c18dbb740/66e40bd9072635acc6c35c4e_230822_bigpenny_selects_002_v2_9a05d92e77.jpeg,,,,,"1 Priestley Way, London E17 6AL, UK",51.5908551,-0.0413181,B8eAzlog89,"Big Penny Social is a pub, arts centre, and town square - a place to eat, drink and be entertained for all ages. Enough room to host birthday parties and big family gatherings, watch live sports, and more. Check the calendar for events like track play and bouncey castles.",https://maps.app.goo.gl/tijas2jAQwQWzZmJ9,66e40bd9072635acc6c35c75,https://thenugget.app/template/location/big-penny-social-london-england
BEER + BURGER,BEER + BURGER,1 York Way,London,England,N1C 4AS,GB,020 3963 5795,,http://www.beerandburgerstore.com/,1,"Baby change in unisex room, Kids' menu, Wheelchair access, Outdoor seating, Playground nearby, Small sharing plates, Vegetarian, Vegan, Relaxed, Good for groups, Takeaway, Teen favourite, Friendly staff, Healthy, Quick service, A/C",,12:00-23:00,12:00-23:00,12:00-23:00,12:00-23:00,12:00-23:00,12:00-23:00,12:00-22:30,Europe/London,,FALSE,beer-burger-london-england,https://cdn.prod.website-files.com/65c4e3041d72984c18dbb740/66e40bda324299705be276dd_IMG_2681.jpeg,,,,,"1 York Wy, London N1C 4AS, UK",51.5361457,-0.1225853,Z4vZzlMw4Q,"Friendly craft beers and burger place, better for older kids and teens. No kids after 7 pm.",https://maps.app.goo.gl/WnfCLGbyG9GuLYhL8,66e40bda324299705be27886,https://thenugget.app/template/location/beer-burger-london-england
Happy Face Pizza King's Cross,Happy Face Pizza King's Cross,14 Handyside Street,London,England,N1C 4DN,GB,020 3146 0760,,https://www.happyface.pizza/,1,"High chair, Baby change in unisex room, Kids' menu, Wheelchair access, Outdoor seating, Playground nearby, Relaxed, Buzzy, Good for groups, Takeaway, Teen favourite, Dog friendly, Friendly staff, Kids' colouring, Quick service, A/C, Pram storage",,12:00-22:00,12:00-22:00,12:00-22:00,12:00-22:00,12:00-22:00,12:00-22:00,12:00-21:00,Europe/London,,FALSE,happy-face-pizza-king-s-cross-london-england,https://cdn.prod.website-files.com/65c4e3041d72984c18dbb740/66e40bdcff3875df05e36667_Happy%2520Face%2520king%2527s%2520cross.jpeg,,,,,"14 Handyside St, London N1C 4DN, UK",51.5374187,-0.1240947,B4Le7KANJe,"Stylish, modern Italian eatery for wood-fired pizza, gelato, beers, wines, cocktails & espresso. Friendly pizza place near Everyman Cinema and a local playground. ",https://maps.app.goo.gl/oPvJd6Pg63yoijEN7,66e40bdcff3875df05e3668f,https://thenugget.app/template/location/happy-face-pizza-king-s-cross-london-england
Lina Stores Italian Restaurant & Deli King's Cross,Lina Stores Italian Restaurant & Deli King's Cross,20 Stable Street,London,England,N1C 4DR,GB,0 20 8103 4787,,https://www.linastores.co.uk/locations/stable-street-restaurant-delicatessen/?utm_source=GMB&utm_medium=website%20click&utm_campaign=SDM&utm_id=GMB,1,"High chair, Baby change in unisex room, Wheelchair access, Playground nearby, Small sharing plates, Vegetarian, Vegan, Gluten free, Halal, Relaxed, Buzzy, Good for groups, Takeaway, Teen favourite, Friendly staff, Healthy, A/C",,08:00-23:30,08:00-23:30,08:00-23:30,08:00-23:30,08:00-23:30,09:00-00:00,09:00-00:00,Europe/London,,FALSE,lina-stores-italian-restaurant-deli-king-s-cross-london-england,https://cdn.prod.website-files.com/65c4e3041d72984c18dbb740/66e40bddbe0ec2f5f934e22d_Lina%2520Store.jpeg,,,,,"20 Stable St, London N1C 4DR, UK",51.5372423,-0.1250130,zpAL9PA68d,"Enjoy breakfast, antipasti, pasta, and a range of desserts to eat in or take home. Choose from a range of Italian produce made fresh to order or sample the finest deli items. ",https://maps.app.goo.gl/juisCM8Pp2fZAj9o9,66e40bddbe0ec2f5f934e231,https://thenugget.app/template/location/lina-stores-italian-restaurant-deli-king-s-cross-london-england
Casa Pastor,Casa Pastor,Coal Drops Yard,London,England,N1C 4DQ,GB,,,https://www.tacoselpastor.co.uk/,1,"High chair, Baby change in unisex room, Kids' menu, Wheelchair access, Outdoor seating, Small sharing plates, Vegetarian, Vegan, Relaxed, Buzzy, Good for groups, Teen favourite, Dog friendly, Friendly staff, Healthy, Kids' colouring, Quick service, A/C, Pram storage",,17:00-23:00,12:00-23:00,12:00-23:00,12:00-23:30,12:00-23:30,"12:00-15:00,17:00-23:30",12:00-20:00,Europe/London,,FALSE,casa-pastor-london-england,https://cdn.prod.website-files.com/65c4e3041d72984c18dbb740/66e40bde46da67d20ec2150a_WhatsApp%2520Image%25202024-05-10%2520at%252016.59.14.jpeg,,,,,"Coal Drops Yard, London, England, N1C 4DQ, GB",51.5360314,-0.1269178,38275dQ0pB, Mexico City-inspired tacos & in-house tortillas plus beers & mezcal. Buzzy vibe with tasty tacos and covered outdoor seating,https://maps.app.goo.gl/NFwjSFRmNZ5RouKB8,66e40bde46da67d20ec215b2,https://thenugget.app/template/location/casa-pastor-london-england
Drake & Morgan at King's Cross,Drake & Morgan at King's Cross,6 Pancras Square,London,England,N1C 4AG,GB,020 3826 4870,,https://www.drakeandmorgan.co.uk/kings-cross/?utm_source=G&utm_medium=organic&utm_campaign=LPM,1,"High chair, Baby change in unisex room, Kids' menu, Wheelchair access, Outdoor seating, Vegetarian, Vegan, Relaxed, Buzzy, Good for groups, Teen favourite, Dog friendly, Friendly staff, Healthy, Kids' colouring, Quick service, A/C, Pram storage",,08:00-00:00,08:00-00:00,08:00-00:00,08:00-00:00,08:00-00:00,09:00-00:00,09:00-23:00,Europe/London,,FALSE,drake-morgan-at-king-s-cross-london-england,https://cdn.prod.website-files.com/65c4e3041d72984c18dbb740/66e40bdf3f0c3f4e61641c65_WhatsApp%2520Image%25202024-05-10%2520at%252016.58.56.jpeg,,,,,"6 Pancras Sq, London N1C 4AG, UK",51.5335008,-0.1260193,zpBgVx924v,Spread across two floors with an open kitchen and an extensive year-round outside space.  Grilled local dishes from served in buzzy vibe.,https://maps.app.goo.gl/MsKQ8gMuzZHFfYLy6,66e40bdf3f0c3f4e61641c7e,https://thenugget.app/template/location/drake-morgan-at-king-s-cross-london-england
Beans & Barley,Beans & Barley,597 Green Lanes,London,England,N8 0RE,GB,07446 030507,,https://www.beansandbarley.co.uk/,1,"High chair, Baby change in unisex room, Kids' menu, Small sharing plates, Vegetarian, Vegan, Fun / Quirky, Relaxed, Buzzy, Teen favourite, Friendly staff, Games available, Kids' play space, Quick service, Pram storage",,08:00-00:00,08:00-00:00,08:00-00:00,08:00-02:00,08:00-02:00,08:00-02:00,08:00-12:00,Europe/London,,FALSE,beans-barley-london-england,https://cdn.prod.website-files.com/65c4e3041d72984c18dbb740/66e40be024587e0d1b3ad768_beans%2520and%2520barley.png,,,,,"595, 597 Green Lanes, Harringay Ladder, London N8 0RE, UK",51.5844189,-0.1003957,b4n2zy5M4y,"Beans&Barley is the perfect venue for the whole family, hosting your child's birthday party plus an amazing array of food and freshly ground coffee, with 1 floor of fun, big slides, a swing and baby toys and toys for elder age groups. A zone just for your teeney weeney winks stacked with sensory play!  📸 Beans&Barley",https://maps.app.goo.gl/5w8raeU3pHLeJnvm9,66e40be024587e0d1b3ad76c,https://thenugget.app/template/location/beans-barley-london-england
Zizzi - One New Change (St Paul's),Zizzi - One New Change (St Paul's),New Change,London,England,EC4M 9AF,GB,0 20 3302 7374,,https://www.zizzi.co.uk/?utm_source=google&utm_medium=organic&utm_campaign=panel,1,"High chair, Baby change in unisex room, Kids' menu, Wheelchair access, Tourist attraction nearby, Small sharing plates, Vegetarian, Vegan, Gluten free, Relaxed, Buzzy, Good for groups, Teen favourite, Friendly staff, Healthy, Quick service, Pram storage",,11:30-22:00,11:30-22:00,11:30-22:00,11:30-22:00,11:30-23:00,11:30-23:00,11:30-22:00,Europe/London,,FALSE,zizzi-one-new-change-st-paul-s-london-england,https://cdn.prod.website-files.com/65c4e3041d72984c18dbb740/66e40be18eb91179f8158b9e_IMG_9906.jpeg,,,,,"Unit SU46, New Change, London EC4M 9AF, UK",51.5137000,-0.0950174,rpXR9y10JB,"Italian chain restaurant for pizza & calzone on wooden boards, plus traditional pastas. Kids' meal: 3 courses & a Chocacino for £7.95.",https://maps.app.goo.gl/qrL1pkLLkEi1PzJ77,66e40be18eb91179f8158ba9,https://thenugget.app/template/location/zizzi-one-new-change-st-paul-s-london-england
Dishoom Covent Garden,Dishoom Covent Garden,12 Upper St Martin's Lane,London,England,WC2H 9FB,GB,020 7420 9320,,https://www.dishoom.com/covent-garden/?utm_source=google&utm_medium=organic&utm_campaign=Yext&utm_content=D1-CoventGarden&y_source=1_MjMwNDkyMDMtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,1,"High chair, Baby change in unisex room, Kids' menu, Wheelchair access, Outdoor seating, Tourist attraction nearby, Small sharing plates, Vegetarian, Vegan, Gluten free, Cosy, Relaxed, Buzzy, Good for groups, Takeaway, Teen favourite, Friendly staff, Healthy, Quick service, A/C",,08:00-23:00,08:00-23:00,08:00-23:00,08:00-23:00,08:00-00:00,09:00-00:00,09:00-23:00,Europe/London,,FALSE,dishoom-covent-garden-london-england,https://cdn.prod.website-files.com/65c4e3041d72984c18dbb740/66e40be205089f0c0b8c3d1d_Dishoom%2520covent%2520garden.png,,,,,"12 Upper St Martin's Ln, London WC2H 9FB, UK",51.5125176,-0.1268291,5J0W56M14B,Buzzy destination for Indian street food in Bombay-style decor with 7 locations around London.  📸Dishoom,https://maps.app.goo.gl/oTpMNrA921K3yZWR6,66e40be205089f0c0b8c3d33,https://thenugget.app/template/location/dishoom-covent-garden-london-england
The Breakfast Club Hoxton,The Breakfast Club Hoxton,2-4 Rufus Street,London,England,N1 6PE,GB,0 20 7729 5252,,https://thebreakfastclubcafes.com/hoxton/,1,"High chair, Baby change in unisex room, Kids' menu, Wheelchair access, Playground nearby, Vegetarian, Vegan, Fun / Quirky, Relaxed, Buzzy, Good for groups, Teen favourite, Friendly staff, Quick service, A/C, Pram storage",,08:00-15:00,08:00-15:00,08:00-14:45,08:00-15:00,08:00-15:00,08:00-16:00,08:00-16:00,Europe/London,,FALSE,the-breakfast-club-hoxton-london-england,https://cdn.prod.website-files.com/65c4e3041d72984c18dbb740/66e40be408fcd872c28a5307_WhatsApp%2520Image%25202024-05-15%2520at%252010.22.49-fotor-20240515102318.jpeg,,,,,"2-4 Rufus St, London N1 6PE, UK",51.5271194,-0.0811388,287yjb6N4A,Classic American breakfast favourites with a cool vibe and friendly staff. 11 locations around London.,https://maps.app.goo.gl/VngAv2nVGjtd5YWp9,66e40be408fcd872c28a5331,https://thenugget.app/template/location/the-breakfast-club-hoxton-london-england
